City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
379,Monteagudo,BO,80.38,overcast clouds,-19.8167,-63.9833,"Residencial ""OLIVIA"""
380,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
381,Canto Do Buriti,BR,81.3,clear sky,-8.11,-42.9444,Novo Hotel
389,Praia,CV,75.54,overcast clouds,14.9215,-23.5087,LT Aparthotel
390,Mehriz,IR,79.3,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
392,Jingdezhen,CN,79.92,overcast clouds,29.2947,117.2079,Garden Hotel
393,Havelock,US,83.05,few clouds,34.8791,-76.9013,Sherwood Motel
394,Eau Claire,US,82.78,overcast clouds,44.8114,-91.4985,Hampton Inn Eau Claire
402,Salinas,US,89.56,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
404,Wanxian,CN,81.82,overcast clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
406,Mogadishu,SO,76.39,overcast clouds,2.0371,45.3438,Hotel Juba
408,Tomatlan,MX,88.43,overcast clouds,19.9333,-105.25,El Salvial
410,Labuhan,ID,76.96,broken clouds,-6.8844,112.2051,DoubleFAG
414,Carutapera,BR,78.33,broken clouds,-1.195,-46.02,Lidera
417,La Tuque,CA,79.05,broken clouds,47.4334,-72.7824,Appart-Hôtel La Tuque
420,Nishihara,JP,82.45,overcast clouds,26.1842,127.7558,Minshuku Agaihama
421,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
424,North Bend,US,78.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
425,Sept-Iles,CA,77.52,broken clouds,50.2001,-66.3821,Comfort Inn
426,Monroe,US,83.01,scattered clouds,43.1501,-77.6831,Rodeway Inn Rochester Airport
428,Vega De Alatorre,MX,84.88,broken clouds,20.0333,-96.6333,Hotel D Luxe
429,Sola,VU,80.15,scattered clouds,-13.8833,167.55,Leumerus Bungalows
430,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
432,Namatanai,PG,78.67,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
434,Buala,SB,79.99,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
435,Narasaraopet,IN,82.06,overcast clouds,16.25,80.0667,AT International Lodge
439,Gat,IL,79.81,clear sky,31.61,34.7642,OlusHome
440,Novo Aripuana,BR,85.08,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
441,Dillon,US,89.58,overcast clouds,34.4166,-79.3712,Dillon Express Inn
444,Alice Town,BS,82.8,broken clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
448,Porto Novo,BJ,78.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
451,Rosarito,MX,85.66,scattered clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
453,Mbandaka,CD,77.13,broken clouds,0.0487,18.2603,Guest House Epervier
468,Jishou,CN,76.82,overcast clouds,28.3167,109.7167,7 Days Inn
470,Koungheul,SN,85.87,moderate rain,13.9833,-14.8,Statation petrodis
472,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
475,Ewa Beach,US,82.09,light rain,21.3156,-158.0072,Base Lodging
479,Danville,US,88.03,broken clouds,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
483,Paragominas,BR,78.4,overcast clouds,-2.9667,-47.4833,INOVA
485,Boa Vista,BR,82.38,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
495,Waspan,NI,88.3,overcast clouds,14.7419,-83.9717,Hostal casa de la rose
496,Maumere,ID,76.12,overcast clouds,-8.6199,122.2111,Sylvia Hotel
497,Jabinyanah,TN,80.4,clear sky,35.035,10.9081,maison belmabrouk
499,Pamfila,GR,76.71,clear sky,39.1567,26.5217,GOLDEN SUN ROOMS
501,Safaga,EG,87.06,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
503,Catuday,PH,80.51,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
506,Inirida,CO,78.13,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
507,Huitziltepec,MX,76.28,overcast clouds,17.8167,-99.4667,Fidelina Garcia
512,Alugan,PH,78.21,few clouds,12.2188,125.4808,JM Lodge
514,Eyl,SO,79.7,broken clouds,7.9803,49.8164,Amiin Hotel
515,Derzhavinsk,KZ,79.93,overcast clouds,51.1,66.3167,Ooo.khim Baza
516,Ajdabiya,LY,76.44,clear sky,30.7554,20.2263,Almadina Hotel
519,Korla,CN,78.64,overcast clouds,41.7597,86.1469,Gulisitan Hotel
520,Harrisonburg,US,86.68,clear sky,38.4496,-78.8689,Hampton Inn Harrisonburg - University
522,Shaowu,CN,78.26,overcast clouds,27.3409,117.4831,Yijie Express Hotel
526,Beyneu,KZ,86.49,clear sky,45.3167,55.2,NUR
527,Muroto,JP,75.49,moderate rain,33.2833,134.15,Oota Ryokan
