City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
171,Bogale,MM,16.2833,95.4,77.94,89,100,3.29,overcast clouds
172,Rudbar,AF,30.15,62.6,89.96,31,6,11.54,clear sky
173,Ouadda,CF,8.0777,22.4007,67.59,96,71,2.21,broken clouds
174,Tibu,CO,8.639,-72.7358,91.85,45,6,4.38,clear sky
175,Kodiak,US,57.79,-152.4072,62.11,72,20,4.61,few clouds
176,Nkwerre,NG,5.7556,7.1063,72.43,93,100,5.46,overcast clouds
177,Coahuayana,MX,18.7333,-103.6833,86.52,68,94,5.3,overcast clouds
178,Bambous Virieux,MU,-20.3428,57.7575,68.25,88,75,12.66,light rain
179,Lagoa,PT,39.05,-27.9833,69.35,90,25,14.76,scattered clouds
180,Faya,SA,18.3851,42.4509,70.32,42,91,1.92,light rain
181,Bereda,ES,43.2686,-7.5406,72.14,98,98,0.83,overcast clouds
182,Bubaque,GW,11.2833,-15.8333,80.58,80,100,14.12,overcast clouds
183,Mount Gambier,AU,-37.8333,140.7667,44.83,91,100,11.43,light rain
184,Lompoc,US,34.6391,-120.4579,93.78,68,0,18.41,clear sky
185,Kutum,SD,14.2,24.6667,70.2,81,93,9.37,moderate rain
186,Vuyyuru,IN,16.3667,80.85,84.33,74,75,5.75,haze
187,Sao Filipe,CV,14.8961,-24.4956,74.93,79,100,5.86,overcast clouds
188,Hamilton,US,39.1834,-84.5333,88.75,46,40,9.22,scattered clouds
189,Kavieng,PG,-2.5744,150.7967,81.48,77,78,10.18,broken clouds
190,Mmathubudukwane,BW,-24.6,26.4333,55.98,37,0,5.91,clear sky
191,Necochea,AR,-38.5473,-58.7368,49.5,94,99,9.53,overcast clouds
192,Tura,IN,25.5198,90.2201,75.31,94,11,4.34,heavy intensity rain
193,Pisco,PE,-13.7,-76.2167,66.25,68,40,25.32,dust
194,Rawson,AR,-43.3002,-65.1023,42.87,74,95,13.44,overcast clouds
195,Asekeyevo,RU,53.5742,52.7972,63.5,85,24,10.87,few clouds
196,Boddam,GB,57.4667,-1.7833,55.78,82,30,10.49,scattered clouds
197,Cayenne,GF,4.9333,-52.3333,77.09,1,100,3.44,light rain
198,Lubango,AO,-14.9172,13.4925,56.16,34,0,3.78,clear sky
199,Mittagong,AU,-34.45,150.45,38.86,80,85,3.98,overcast clouds
200,Zeya,RU,53.75,127.2667,67.86,79,55,2.57,broken clouds
201,Victoria,HK,22.2855,114.1577,86.38,86,100,11.01,overcast clouds
202,Pirot,RS,43.1531,22.5861,69.35,49,3,2.37,clear sky
203,Rybachiy,RU,48.7073,44.7449,69.66,46,0,7.25,clear sky
204,Wattegama,LK,6.7989,81.4808,76.95,69,100,5.7,overcast clouds
205,Juneau,US,58.3019,-134.4197,67.84,78,75,0.0,broken clouds
206,Sabya,SA,17.1495,42.6254,92.82,63,94,4.52,overcast clouds
207,Marsabit,KE,2.3284,37.9899,65.05,66,41,25.23,scattered clouds
208,Caucaia,BR,-3.7361,-38.6531,81.03,67,0,5.75,clear sky
209,Armidale,AU,-30.5167,151.65,32.68,51,88,3.98,overcast clouds
210,Nouadhibou,MR,20.931,-17.0347,71.58,83,20,20.71,few clouds
211,Elizabeth City,US,36.2946,-76.2511,86.05,77,40,8.05,scattered clouds
212,Rudsar,IR,37.1376,50.288,78.78,75,0,4.74,clear sky
213,Terrace Bay,CA,48.7834,-87.1,53.42,83,52,5.12,broken clouds
214,Viedma,AR,-40.8135,-62.9967,45.19,86,100,16.11,overcast clouds
